EPOCHS,LEARNING_RATE,BATCH_SIZE,KERNEL,POOLING,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
1,0.0009,100,2,max,45.93600034713745,61.46000027656555,1.5065546035766602,1.1182373762130737
2,0.0009,100,2,max,63.88999819755554,66.03000164031982,1.0287574529647827,0.9829455018043518
3,0.0009,100,2,max,70.42800188064575,68.87999773025513,0.8446974754333496,0.899034321308136
4,0.0009,100,2,max,75.40199756622314,72.22999930381775,0.7058418989181519,0.810771107673645
5,0.0009,100,2,max,80.21600246429443,72.9200005531311,0.5689050555229187,0.8290895819664001
6,0.0009,100,2,max,84.3999981880188,74.69000220298767,0.446214884519577,0.804349422454834
7,0.0009,100,2,max,88.7220025062561,73.25999736785889,0.3243391811847687,0.9433585405349731
8,0.0009,100,2,max,92.03000068664551,73.0400025844574,0.22752471268177032,1.038305640220642
9,0.0009,100,2,max,94.37599778175354,73.55999946594238,0.16191180050373077,1.1866323947906494
10,0.0009,100,2,max,95.78199982643127,73.580002784729,0.12261570245027542,1.2244188785552979
11,0.0009,100,2,max,96.37799859046936,73.21000099182129,0.10405678302049637,1.3392550945281982
12,0.0009,100,2,max,96.82400226593018,73.43999743461609,0.09176936000585556,1.341814398765564
13,0.0009,100,2,max,97.21800088882446,72.42000102996826,0.07924457639455795,1.6020689010620117
14,0.0009,100,2,max,97.50999808311462,72.87999987602234,0.0736670047044754,1.5914511680603027
15,0.0009,100,2,max,97.88399934768677,73.73999953269958,0.0606825165450573,1.6237050294876099
1,0.0009,100,2,average,40.4339998960495,52.70000100135803,1.6424739360809326,1.3189762830734253
2,0.0009,100,2,average,55.55800199508667,59.49000120162964,1.2370796203613281,1.136528491973877
3,0.0009,100,2,average,62.31600046157837,63.24999928474426,1.060395359992981,1.043624997138977
4,0.0009,100,2,average,67.45200157165527,65.41000008583069,0.9208695292472839,0.9869376420974731
5,0.0009,100,2,average,72.00400233268738,68.25000047683716,0.7921178936958313,0.9053429961204529
6,0.0009,100,2,average,75.97399950027466,69.12999749183655,0.6781174540519714,0.9210214018821716
7,0.0009,100,2,average,79.96000051498413,70.45999765396118,0.569796621799469,0.8816489577293396
8,0.0009,100,2,average,83.74000191688538,71.25999927520752,0.4629818797111511,0.9431230425834656
9,0.0009,100,2,average,87.14399933815002,70.24000287055969,0.3623136281967163,1.0330281257629395
10,0.0009,100,2,average,90.23399949073792,71.38000130653381,0.2778705060482025,1.0628799200057983
