EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
1,"ADAM,0.0009,WD=0.0001",True,True,0,True,44.648000597953796,64.20999765396118,0.6421,1.5375431776046753,1.0047951936721802
2,"ADAM,0.0009,WD=0.0001",True,True,0,True,55.78100085258484,68.83999705314636,0.6884,1.2379982471466064,0.8855579495429993
3,"ADAM,0.0009,WD=0.0001",True,True,0,True,60.45600175857544,72.680002450943,0.7268,1.1114448308944702,0.7859692573547363
4,"ADAM,0.0009,WD=0.0001",True,True,0,True,63.70599865913391,73.07000160217285,0.7307,1.028671145439148,0.7755296230316162
5,"ADAM,0.0009,WD=0.0001",True,True,0,True,65.93800187110901,73.71000051498413,0.7371,0.9613354206085205,0.7563130855560303
6,"ADAM,0.0009,WD=0.0001",True,True,0,True,67.82299876213074,75.47000050544739,0.7547,0.9054419994354248,0.722632884979248
7,"ADAM,0.0009,WD=0.0001",True,True,0,True,69.6120023727417,76.74000263214111,0.7674,0.8599246740341187,0.7045977115631104
8,"ADAM,0.0009,WD=0.0001",True,True,0,True,70.92099785804749,77.03999876976013,0.7704,0.8192344903945923,0.7145111560821533
9,"ADAM,0.0009,WD=0.0001",True,True,0,True,72.28999733924866,75.72000026702881,0.7572,0.7912600636482239,0.7726704478263855
10,"ADAM,0.0009,WD=0.0001",True,True,0,True,73.20899963378906,75.83000063896179,0.7583,0.7632626891136169,0.8025607466697693
11,"ADAM,0.0009,WD=0.0001",True,True,0,True,74.13899898529053,77.1399974822998,0.7714,0.7352544665336609,0.7889431715011597
12,"ADAM,0.0009,WD=0.0001",True,True,0,True,74.76400136947632,77.82999873161316,0.7783000000000001,0.720613956451416,0.808652400970459
13,"ADAM,0.0009,WD=0.0001",True,True,0,True,75.19599795341492,78.32000255584717,0.7832,0.707370400428772,0.7830159664154053
14,"ADAM,0.0009,WD=0.0001",True,True,0,True,75.67800283432007,77.920001745224,0.7792,0.6964195966720581,0.7994556427001953
15,"ADAM,0.0009,WD=0.0001",True,True,0,True,76.05299949645996,77.5600016117096,0.7756000000000001,0.684654951095581,0.823201060295105
1,"ADAM,0.0009,WD=0.0001",True,True,0,False,37.94899880886078,52.7400016784668,0.5274,1.6936259269714355,1.3132917881011963
2,"ADAM,0.0009,WD=0.0001",True,True,0,False,46.67699933052063,57.45999813079834,0.5746,1.480014443397522,1.192317008972168
3,"ADAM,0.0009,WD=0.0001",True,True,0,False,50.07299780845642,61.10000014305115,0.611,1.384570837020874,1.0934288501739502
4,"ADAM,0.0009,WD=0.0001",True,True,0,False,52.96199917793274,62.25000023841858,0.6225,1.3136191368103027,1.0595993995666504
5,"ADAM,0.0009,WD=0.0001",True,True,0,False,55.020999908447266,64.86999988555908,0.6487,1.2584744691848755,0.9869309067726135
