EPOCHS;OPTIM;RESIDUAL;AUGMENTED;DROPOUT;BATCH_NORM;ACC_TRAIN;ACC_TEST;TEST_F1;ERROR_TRAIN;ERROR_TEST
1;ADAM,0.0009,WD=0.0001;True;False;0.0;True;47.49999940395355;61.4300012588501;0.6143;1.4742302894592285;1.1085151433944702
2;ADAM,0.0009,WD=0.0001;True;False;0.0;True;64.78800177574158;67.25000143051147;0.6725;0.9966576099395752;0.9543843865394592
3;ADAM,0.0009,WD=0.0001;True;False;0.0;True;71.12399935722351;71.069997549057;0.7106999999999999;0.8305371999740601;0.854695200920105
4;ADAM,0.0009,WD=0.0001;True;False;0.0;True;75.19800066947937;73.79000186920166;0.7379000000000001;0.7100663781166077;0.7620216608047485
5;ADAM,0.0009,WD=0.0001;True;False;0.0;True;78.62399816513062;72.67000079154968;0.7267;0.6083936095237732;0.7996736764907837
6;ADAM,0.0009,WD=0.0001;True;False;0.0;True;82.14600086212158;74.80999827384949;0.7481000000000001;0.5101938247680664;0.7570308446884155
7;ADAM,0.0009,WD=0.0001;True;False;0.0;True;85.23200154304504;75.70000290870667;757;0.42176300287246704;0.7746851444244385
8;ADAM,0.0009,WD=0.0001;True;False;0.0;True;87.92799711227417;74.4700014591217;0.7447;0.34596574306488037;0.833492636680603
9;ADAM,0.0009,WD=0.0001;True;False;0.0;True;90.96400141716003;74.98000264167786;0.7498;0.2603371739387512;0.8794070482254028
10;ADAM,0.0009,WD=0.0001;True;False;0.0;True;93.43400001525879;75.42999982833862;0.7543;0.19390851259231567;0.8990912437438965
11;ADAM,0.0009,WD=0.0001;True;False;0.0;True;94.26199793815613;75.23000240325928;0.7523000000000001;0.16512595117092133;0.9308359622955322
12;ADAM,0.0009,WD=0.0001;True;False;0.0;True;95.75200080871582;74.86000061035156;0.7486;0.124711774289608;1.0271602869033813
13;ADAM,0.0009,WD=0.0001;True;False;0.0;True;96.10599875450134;75.01999735832214;0.7502;0.11392515897750854;1.0131595134735107
14;ADAM,0.0009,WD=0.0001;True;False;0.0;True;96.25800251960754;74.91999864578247;0.7492000000000001;0.11128229647874832;1.0576192140579224
15;ADAM,0.0009,WD=0.0001;True;False;0.0;True;97.14599847793579;74.94999766349792;0.7495;0.08769959956407547;1.1022725105285645
1;ADAM,0.0009,WD=0.0001;True;False;0.1;True;40.27799963951111;53.67000102996826;0.5367;1.6604546308517456;1.2966282367706299
2;ADAM,0.0009,WD=0.0001;True;False;0.1;True;55.834001302719116;59.18999910354614;0.5919;1.2316542863845825;1.1500768661499023
3;ADAM,0.0009,WD=0.0001;True;False;0.1;True;60.600000619888306;61.330002546310425;0.6133;1.1146185398101807;1.0907516479492188
4;ADAM,0.0009,WD=0.0001;True;False;0.1;True;63.60999941825867;63.88999819755554;0.6389;1.0304813385009766;1.0170420408248901
5;ADAM,0.0009,WD=0.0001;True;False;0.1;True;66.1899983882904;64.17999863624573;0.6418;0.9607410430908203;1.023836612701416
6;ADAM,0.0009,WD=0.0001;True;False;0.1;True;68.40999722480774;65.65999984741211;0.6566;0.9021327495574951;0.982074499130249
7;ADAM,0.0009,WD=0.0001;True;False;0.1;True;70.44000029563904;66.35000109672546;0.6635;0.8447500467300415;0.9497432112693787
