EPOCHS;OPTIM;RESIDUAL;AUGMENTED;DROPOUT;BATCH_NORM;ACC_TRAIN;ACC_TEST;TEST_F1;ERROR_TRAIN;ERROR_TEST
1;ADAM,0.0009,WD=0.0001;False;False;0.0;False;46.05399966239929;58.799999952316284;588;1.5026317834854126;1.1569076776504517
2;ADAM,0.0009,WD=0.0001;False;False;0.0;False;63.7660026550293;67.46000051498413;0.6746;1.0305757522583008;0.9322079420089722
3;ADAM,0.0009,WD=0.0001;False;False;0.0;False;69.66800093650818;69.9899971485138;0.6999;0.8561946749687195;0.8598172664642334
4;ADAM,0.0009,WD=0.0001;False;False;0.0;False;73.96399974822998;72.4399983882904;0.7244000000000002;0.7417430877685547;0.7895591259002686
5;ADAM,0.0009,WD=0.0001;False;False;0.0;False;77.41600275039673;73.07999730110168;0.7308;0.6465312242507935;0.7694889903068542
6;ADAM,0.0009,WD=0.0001;False;False;0.0;False;81.04199767112732;74.14000034332275;0.7414;0.5438476800918579;0.7641190886497498
7;ADAM,0.0009,WD=0.0001;False;False;0.0;False;83.75999927520752;75.16999840736389;0.7517;0.4615069329738617;0.753895103931427
8;ADAM,0.0009,WD=0.0001;False;False;0.0;False;86.74600124359131;75.77999830245972;0.7577999999999999;0.3784027099609375;0.7663131952285767
9;ADAM,0.0009,WD=0.0001;False;False;0.0;False;89.7599995136261;74.50000047683716;745;0.2926470935344696;0.8540025353431702
10;ADAM,0.0009,WD=0.0001;False;False;0.0;False;92.08400249481201;74.05999898910522;0.7405999999999999;0.22936850786209106;0.9729170203208923
11;ADAM,0.0009,WD=0.0001;False;False;0.0;False;93.82200241088867;74.47999715805054;0.7448;0.17905260622501373;0.9588277339935303
12;ADAM,0.0009,WD=0.0001;False;False;0.0;False;94.77599859237671;73.55999946594238;0.7356;0.15231861174106598;1.0483005046844482
13;ADAM,0.0009,WD=0.0001;False;False;0.0;False;96.02599740028381;74.90000128746033;749;0.11820804327726364;1.061753273010254
14;ADAM,0.0009,WD=0.0001;False;False;0.0;False;96.4139997959137;75.22000074386597;0.7522;0.1091373935341835;1.0524243116378784
15;ADAM,0.0009,WD=0.0001;False;False;0.0;False;96.19399905204773;75.6600022315979;0.7566;0.11084545403718948;1.0217065811157227
1;ADAM,0.0009,WD=0.0001;False;False;0.1;False;40.74000120162964;51.910001039505005;0.5191;1.6279023885726929;1.3263664245605469
2;ADAM,0.0009,WD=0.0001;False;False;0.1;False;56.10799789428711;57.669997215270996;0.5767;1.2182673215866089;1.175224781036377
3;ADAM,0.0009,WD=0.0001;False;False;0.1;False;60.53000092506409;61.169999837875366;0.6117;1.1054576635360718;1.0947456359863281
4;ADAM,0.0009,WD=0.0001;False;False;0.1;False;63.572001457214355;61.76999807357788;0.6177;1.0238858461380005;1.0596963167190552
5;ADAM,0.0009,WD=0.0001;False;False;0.1;False;65.74599742889404;64.49000239372253;0.6449;0.9615972638130188;0.9967525005340576
6;ADAM,0.0009,WD=0.0001;False;False;0.1;False;67.79000163078308;66.10000133514404;661;0.9039503931999207;0.958629846572876
7;ADAM,0.0009,WD=0.0001;False;False;0.1;False;69.65600252151489;66.14000201225281;0.6614;0.8537830114364624;0.9669234752655029
8;ADAM,0.0009,WD=0.0001;False;False;0.1;False;71.21599912643433;68.47000122070312;0.6847;0.8118278980255127;0.9122701287269592
9;ADAM,0.0009,WD=0.0001;False;False;0.1;False;72.680002450943;66.43999814987183;0.6644;0.7697097063064575;0.957156777381897
10;ADAM,0.0009,WD=0.0001;False;False;0.1;False;74.11400079727173;68.19999814033508;682;0.7331143021583557;0.925251841545105
