EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
1,"ADAM,0.0005,WD=0",False,False,False,True,45.034000277519226,58.21999907493591,0.5822,1.5465577840805054,1.1779738664627075
2,"ADAM,0.0005,WD=0",False,False,False,True,60.839998722076416,64.35999870300293,0.6436,1.102942705154419,1.0113747119903564
3,"ADAM,0.0005,WD=0",False,False,False,True,68.03799867630005,69.69000101089478,0.6969,0.9121443033218384,0.8767147660255432
4,"ADAM,0.0005,WD=0",False,False,False,True,72.45000004768372,71.24999761581421,0.7125,0.7858433127403259,0.8230933547019958
5,"ADAM,0.0005,WD=0",False,False,False,True,76.2440025806427,73.42000007629395,0.7342000000000001,0.6758158802986145,0.7739285230636597
6,"ADAM,0.0005,WD=0",False,False,False,True,79.96600270271301,74.90000128746033,0.749,0.5755459666252136,0.7317526936531067
7,"ADAM,0.0005,WD=0",False,False,False,True,82.93200135231018,75.23999810218811,0.7524,0.48771587014198303,0.7524606585502625
8,"ADAM,0.0005,WD=0",False,False,False,True,86.34399771690369,74.94999766349792,0.7495,0.393458753824234,0.8006454706192017
9,"ADAM,0.0005,WD=0",False,False,False,True,89.30799961090088,75.59000253677368,0.7559000000000001,0.30469605326652527,0.8523292541503906
10,"ADAM,0.0005,WD=0",False,False,False,True,92.26999878883362,75.69000124931335,0.7569,0.2258865088224411,0.9243259429931641
11,"ADAM,0.0005,WD=0",False,False,False,True,94.37000155448914,75.73000192642212,0.7573,0.1665177345275879,1.0137418508529663
12,"ADAM,0.0005,WD=0",False,False,False,True,95.98199725151062,75.19000172615051,0.7519000000000001,0.11790476739406586,1.0684281587600708
13,"ADAM,0.0005,WD=0",False,False,False,True,96.65799736976624,76.0699987411499,0.7607,0.09897726774215698,1.1214717626571655
14,"ADAM,0.0005,WD=0",False,False,False,True,97.50800132751465,75.16999840736389,0.7517,0.0742872804403305,1.2583892345428467
15,"ADAM,0.0005,WD=0",False,False,False,True,97.64999747276306,74.98999834060669,0.7499000000000001,0.06917314976453781,1.4129340648651123
1,"ADAM,0.0005,WD=0",False,False,False,False,44.679999351501465,57.22000002861023,0.5722,1.5402055978775024,1.1915161609649658
2,"ADAM,0.0005,WD=0",False,False,False,False,61.61400079727173,63.88000249862671,0.6388,1.0810860395431519,1.0380688905715942
3,"ADAM,0.0005,WD=0",False,False,False,False,68.15199851989746,68.30999851226807,0.6831,0.9096226096153259,0.9070965647697449
4,"ADAM,0.0005,WD=0",False,False,False,False,72.22399711608887,69.49999928474426,0.695,0.793064296245575,0.8757085204124451
5,"ADAM,0.0005,WD=0",False,False,False,False,75.41999816894531,72.06000089645386,0.7205999999999999,0.6981149911880493,0.8106536865234375
6,"ADAM,0.0005,WD=0",False,False,False,False,78.57000231742859,72.54999876022339,0.7255,0.6113252639770508,0.8023442625999451
7,"ADAM,0.0005,WD=0",False,False,False,False,81.47799968719482,73.07000160217285,0.7307,0.527107298374176,0.8124251365661621
8,"ADAM,0.0005,WD=0",False,False,False,False,84.35400128364563,73.14000129699707,0.7314,0.44712114334106445,0.8329190611839294
9,"ADAM,0.0005,WD=0",False,False,False,False,87.37800121307373,73.37999939918518,0.7338,0.3662005066871643,0.8620697855949402
10,"ADAM,0.0005,WD=0",False,False,False,False,89.9940013885498,73.00999760627747,0.7301,0.2915154695510864,0.9338378310203552
11,"ADAM,0.0005,WD=0",False,False,False,False,92.26999878883362,74.37999844551086,0.7438,0.22564275562763214,0.971782922744751
12,"ADAM,0.0005,WD=0",False,False,False,False,94.59800124168396,74.54000115394592,0.7454,0.1633579581975937,1.0727195739746094
13,"ADAM,0.0005,WD=0",False,False,False,False,95.8899974822998,73.87999892234802,0.7388,0.12492884695529938,1.1879873275756836
14,"ADAM,0.0005,WD=0",False,False,False,False,96.9539999961853,73.9799976348877,0.7398,0.09353333711624146,1.2912821769714355
15,"ADAM,0.0005,WD=0",False,False,False,False,97.51799702644348,73.79000186920166,0.7379000000000001,0.07607237994670868,1.37201726436615
1,"ADAM,0.0005,WD=0",False,False,True,True,38.30600082874298,50.31999945640564,0.5032,1.6965442895889282,1.3599342107772827
2,"ADAM,0.0005,WD=0",False,False,True,True,55.43400049209595,58.27000141143799,0.5827,1.2397782802581787,1.1579933166503906
3,"ADAM,0.0005,WD=0",False,False,True,True,61.799997091293335,63.099998235702515,0.631,1.0791175365447998,1.0373362302780151
4,"ADAM,0.0005,WD=0",False,False,True,True,65.78199863433838,66.20000004768372,0.662,0.9673886299133301,0.9667305946350098
5,"ADAM,0.0005,WD=0",False,False,True,True,69.39200162887573,67.1500027179718,0.6715,0.8717813491821289,0.9346714019775391
6,"ADAM,0.0005,WD=0",False,False,True,True,71.79999947547913,70.77999711036682,0.7078,0.7989092469215393,0.8511902093887329
7,"ADAM,0.0005,WD=0",False,False,True,True,74.56200122833252,71.57999873161316,0.7158,0.726852536201477,0.828153133392334
8,"ADAM,0.0005,WD=0",False,False,True,True,76.62400007247925,71.5499997138977,0.7154999999999999,0.6647935509681702,0.8272432684898376
9,"ADAM,0.0005,WD=0",False,False,True,True,79.17199730873108,72.60000109672546,0.726,0.5954747200012207,0.8232520222663879
10,"ADAM,0.0005,WD=0",False,False,True,True,81.42799735069275,73.15000295639038,0.7315,0.5340628027915955,0.8162692189216614
11,"ADAM,0.0005,WD=0",False,False,True,True,83.63000154495239,73.61999750137329,0.7362,0.4750429093837738,0.8383034467697144
12,"ADAM,0.0005,WD=0",False,False,True,True,85.81399917602539,73.68000149726868,0.7368000000000001,0.41119617223739624,0.8750929832458496
13,"ADAM,0.0005,WD=0",False,False,True,True,87.86600232124329,73.01999926567078,0.7302,0.3532859981060028,0.9285550117492676
14,"ADAM,0.0005,WD=0",False,False,True,True,89.96999859809875,72.93999791145325,0.7294,0.293268084526062,0.9687438011169434
15,"ADAM,0.0005,WD=0",False,False,True,True,91.7680025100708,73.04999828338623,0.7305,0.24135935306549072,1.055538296699524
1,"ADAM,0.0005,WD=0",False,False,True,False,34.51800048351288,50.690001249313354,0.5069,1.797092080116272,1.3564010858535767
2,"ADAM,0.0005,WD=0",False,False,True,False,54.55600023269653,57.46999979019165,0.5747,1.266738772392273,1.185259222984314
3,"ADAM,0.0005,WD=0",False,False,True,False,60.70200204849243,61.320000886917114,0.6132,1.1063647270202637,1.0904912948608398
4,"ADAM,0.0005,WD=0",False,False,True,False,64.90600109100342,65.89999794960022,0.659,0.9942184686660767,0.9732600450515747
5,"ADAM,0.0005,WD=0",False,False,True,False,68.33599805831909,67.84999966621399,0.6785,0.9007495045661926,0.9196047186851501
6,"ADAM,0.0005,WD=0",False,False,True,False,71.0919976234436,69.48999762535095,0.6949,0.822344958782196,0.876248300075531
7,"ADAM,0.0005,WD=0",False,False,True,False,73.81399869918823,69.72000002861023,0.6972,0.7513183355331421,0.8666757345199585
8,"ADAM,0.0005,WD=0",False,False,True,False,75.51800012588501,71.3699996471405,0.7137,0.6916171908378601,0.8375425934791565
9,"ADAM,0.0005,WD=0",False,False,True,False,78.06599736213684,71.42000198364258,0.7142,0.6257203817367554,0.8352295160293579
10,"ADAM,0.0005,WD=0",False,False,True,False,80.2839994430542,72.8600025177002,0.7286,0.5658570528030396,0.8160988688468933
11,"ADAM,0.0005,WD=0",False,False,True,False,82.33799934387207,72.22999930381775,0.7223,0.506211519241333,0.8697130084037781
12,"ADAM,0.0005,WD=0",False,False,True,False,84.51799750328064,73.07000160217285,0.7307,0.44919586181640625,0.838454008102417
13,"ADAM,0.0005,WD=0",False,False,True,False,86.47800087928772,72.82999753952026,0.7283,0.3927709758281708,0.8803642392158508
14,"ADAM,0.0005,WD=0",False,False,True,False,88.48199844360352,72.97000288963318,0.7297,0.3350011706352234,0.9252576231956482
15,"ADAM,0.0005,WD=0",False,False,True,False,90.51600098609924,72.61999845504761,0.7262000000000001,0.28257596492767334,0.9983125925064087
1,"ADAM,0.0005,WD=0",False,True,False,True,27.766001224517822,40.41999876499176,0.40419999999999995,1.9784765243530273,1.656571626663208
2,"ADAM,0.0005,WD=0",False,True,False,True,37.30199933052063,41.38999879360199,0.4139,1.724177598953247,1.6291241645812988
3,"ADAM,0.0005,WD=0",False,True,False,True,40.27000069618225,47.00999855995178,0.4701,1.6469805240631104,1.4735312461853027
4,"ADAM,0.0005,WD=0",False,True,False,True,42.68999993801117,47.36999869346619,0.4737,1.58262038230896,1.4783368110656738
5,"ADAM,0.0005,WD=0",False,True,False,True,44.694000482559204,52.890002727508545,0.5289,1.5301392078399658,1.2989546060562134
6,"ADAM,0.0005,WD=0",False,True,False,True,46.60800099372864,51.16000175476074,0.5116,1.4798556566238403,1.3531737327575684
7,"ADAM,0.0005,WD=0",False,True,False,True,47.73600101470947,50.58000087738037,0.5058,1.4511451721191406,1.400351881980896
8,"ADAM,0.0005,WD=0",False,True,False,True,48.67999851703644,55.11999726295471,0.5512,1.4259344339370728,1.2610323429107666
9,"ADAM,0.0005,WD=0",False,True,False,True,49.50200021266937,53.119999170303345,0.5312,1.4061392545700073,1.3086929321289062
10,"ADAM,0.0005,WD=0",False,True,False,True,50.30999779701233,54.14999723434448,0.5415,1.3842262029647827,1.3011585474014282
11,"ADAM,0.0005,WD=0",False,True,False,True,50.9119987487793,56.230002641677856,0.5623,1.364673376083374,1.2319682836532593
12,"ADAM,0.0005,WD=0",False,True,False,True,51.8559992313385,55.76000213623047,0.5576,1.3385026454925537,1.2404462099075317
13,"ADAM,0.0005,WD=0",False,True,False,True,52.32200026512146,56.48000240325928,0.5648,1.3316822052001953,1.2295571565628052
14,"ADAM,0.0005,WD=0",False,True,False,True,52.7400016784668,54.500001668930054,0.545,1.3163901567459106,1.2924952507019043
15,"ADAM,0.0005,WD=0",False,True,False,True,53.08399796485901,57.70999789237976,0.5771,1.3067831993103027,1.1937103271484375
