EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
1,"ADAM,0.0009,WD=0",True,False,False,True,48.61400127410889,60.14000177383423,0.6014,1.4443473815917969,1.1201655864715576
2,"ADAM,0.0009,WD=0",True,False,False,True,65.5680000782013,67.69000291824341,0.6769,0.9758205413818359,0.9082582592964172
3,"ADAM,0.0009,WD=0",True,False,False,True,71.31199836730957,69.05999779701233,0.6906,0.8133021593093872,0.8903477191925049
4,"ADAM,0.0009,WD=0",True,False,False,True,76.48800015449524,74.00000095367432,0.74,0.6698026657104492,0.7621718645095825
5,"ADAM,0.0009,WD=0",True,False,False,True,80.5459976196289,74.23999905586243,0.7424,0.5563863515853882,0.7895945906639099
6,"ADAM,0.0009,WD=0",True,False,False,True,84.36400294303894,74.83000159263611,0.7483,0.4429229199886322,0.7990853786468506
7,"ADAM,0.0009,WD=0",True,False,False,True,88.00399899482727,74.59999918937683,0.746,0.34019121527671814,0.8656575083732605
8,"ADAM,0.0009,WD=0",True,False,False,True,91.34399890899658,74.8799979686737,0.7488,0.24486030638217926,0.911863386631012
9,"ADAM,0.0009,WD=0",True,False,False,True,93.8260018825531,75.52000284194946,0.7552,0.17683875560760498,1.001540184020996
10,"ADAM,0.0009,WD=0",True,False,False,True,95.30199766159058,74.33000206947327,0.7433,0.13594551384449005,1.2274774312973022
11,"ADAM,0.0009,WD=0",True,False,False,True,96.00200057029724,75.22000074386597,0.7522,0.11519067734479904,1.2517762184143066
12,"ADAM,0.0009,WD=0",True,False,False,True,96.61800265312195,75.24999976158142,0.7525,0.09717519581317902,1.4008272886276245
13,"ADAM,0.0009,WD=0",True,False,False,True,97.18599915504456,74.18000102043152,0.7418,0.08166714012622833,1.426999807357788
14,"ADAM,0.0009,WD=0",True,False,False,True,97.22599983215332,74.27999973297119,0.7428,0.08027570694684982,1.4541938304901123
15,"ADAM,0.0009,WD=0",True,False,False,True,97.5600004196167,73.69999885559082,0.737,0.07299023866653442,1.597956657409668
1,"ADAM,0.0009,WD=0",True,False,False,False,37.15600073337555,48.179998993873596,0.4818,1.7266474962234497,1.4165533781051636
2,"ADAM,0.0009,WD=0",True,False,False,False,53.52399945259094,56.26000165939331,0.5626,1.2938921451568604,1.2192206382751465
3,"ADAM,0.0009,WD=0",True,False,False,False,59.06599760055542,59.579998254776,0.5958,1.1504130363464355,1.128179907798767
4,"ADAM,0.0009,WD=0",True,False,False,False,63.15799951553345,61.18999719619751,0.6119,1.0444608926773071,1.106188178062439
5,"ADAM,0.0009,WD=0",True,False,False,False,66.4080023765564,63.96999955177307,0.6397,0.9558802247047424,1.0116963386535645
6,"ADAM,0.0009,WD=0",True,False,False,False,68.92600059509277,66.46999716758728,0.6647,0.8852418065071106,0.9577832818031311
7,"ADAM,0.0009,WD=0",True,False,False,False,71.63400053977966,67.61000156402588,0.6761,0.8128398060798645,0.9367888569831848
8,"ADAM,0.0009,WD=0",True,False,False,False,74.14000034332275,67.83999800682068,0.6784,0.7433716058731079,0.9249122142791748
9,"ADAM,0.0009,WD=0",True,False,False,False,75.94199776649475,68.3899998664856,0.6839,0.6808261275291443,0.9390408992767334
